news_media,Tweet,Tweet_Date,Sentiment_Compound,Sentiment_Positive,Sentiment_Neutral,Sentiment_Negative,News_Media
,"PM says new agreement must respect referendum -- borders, law and money and wider change",2018-03-02 13:45:49,0.743,0.326,0.674,0.0,@BBCNews
,PM opening with thanks to emergency services and then a repeat of her No 10 promise - 'the govt I lead will be led by the interests not of the privileged few but by yours',2018-03-02 13:44:14,-0.0008,0.141,0.718,0.141,@BBCNews
,17-year-old Lloyd Gunton locked up over Cardiff terror plans https://t.co/R77slmCAWG,2018-03-02 13:42:52,-0.5267,0.0,0.726,0.274,@BBCNews
,Meanwhile..... https://t.co/p0cgqK8vAa,2018-03-02 13:42:40,0.0,0.0,1.0,0.0,@BBCNews
,Both Lancaster House and Florence speeches did change the course of the negotiations and politics at home - will today have as profound an effect?,2018-03-02 13:39:30,0.0,0.0,1.0,0.0,@BBCNews
,PM speech about to start in freezing but beautiful and very grand surroundings of Mansion House - watch on@bbcnews and special @daily_politics on now,2018-03-02 13:29:40,0.9342,0.398,0.566,0.036,@BBCNews
,"Niche niche snow update - Boris Johnson can't make the PM's speech because of UK, not EU snow",2018-03-02 13:28:05,0.0,0.0,1.0,0.0,@BBCNews
,David Cameron and George Osborne hail plan after UK deficit target met https://t.co/Sj7YWrC23n,2018-03-02 13:12:39,-0.34,0.087,0.733,0.18,@BBCNews
,"South Western Railway to close down service by 20:00 GMT due to adverse weather 

https://t.co/LsYvut8lW7 https://t.co/c8ygOrrvhp",2018-03-02 12:57:06,-0.3612,0.0,0.857,0.143,@BBCNews
,Network Rail to end station toilet charges in 2019 https://t.co/mj2cerEMnZ,2018-03-02 12:22:28,-0.2732,0.0,0.811,0.189,@BBCNews
,"No bed, no food, no phones. These kids spent the night sleeping without their home comforts, to give them an idea of what it is like to be homeless. https://t.co/JxtXDXR4IL https://t.co/4HV3zyzGU1",2018-03-02 12:13:27,-0.6862,0.066,0.69,0.243,@BBCNews
,Paul Moore guilty of Leicester hate crime car attack https://t.co/rhJ6ADeSqx,2018-03-02 12:11:48,-0.9201,0.0,0.314,0.686,@BBCNews
,SFO seeks retrial of former Tesco bosses https://t.co/qJQxmf5Rtw,2018-03-02 11:54:51,0.0,0.0,1.0,0.0,@BBCNews
,There’ll be no need to spend pennies… to spend a penny… at stations from 2019  ? ? https://t.co/0NlZ8xPZIZ,2018-03-02 11:54:10,-0.296,0.0,0.864,0.136,@BBCNews
,"'As bad as it's been since the 1980s'.

A number of former Arsenal players have pulled no punches in their assessment of last night's display.

Read: https://t.co/ec6yI7vet6 https://t.co/0W28tZ7NFx",2018-03-02 11:45:40,-0.6597,0.042,0.774,0.184,@BBCNews
,"?? The severe weather in the UK is causing disruption to the sporting calendar.

David Moyes says he's worried about making it to Swansea.

The latest: https://t.co/OTHI49ZV2D https://t.co/1cmUKtwJa5",2018-03-02 11:45:12,-0.743,0.0,0.774,0.226,@BBCNews
,Lego goes green with sugarcane-based plastic https://t.co/JQYetCWz7m,2018-03-02 11:29:32,0.0,0.0,1.0,0.0,@BBCNews
,Carney calls for crackdown on cryptocurrency 'mania' https://t.co/5qstj0gd9r,2018-03-02 10:11:19,0.0,0.0,1.0,0.0,@BBCNews
